Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Area-mean temperatures of Switzerland 1864-2026

DOI: 10.18751/Climate/Timeseries/CHTM/1.4
CAT-version: 2.0.4
Creation date: 01.04.2026 (provisional value for the most recent month)

Citation:
Method: Begert M, Frei C. 2018. Long-term area-mean temperature series for Switzerland - Combining homogenized station data and high resolution grid data. Int. J. Climatol., 38: 2792-2807. https://doi.org/10.1002/joc.5460
Dataset: MeteoSwiss. Area-mean temperatures of Switzerland. doi:10.18751/Climate/Timeseries/CHTM/1.4

djf: dec-feb; mam: mar-may; jja: jun-aug; son: sep-nov; winter: oct-mar; summer: apr-sep; year: jan-dec

time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1933	-5.76	-3.42	0.6	3.98	5.99	8.27	13.83	13.92	10.21	5.27	-0.96	-5.97	-3.41	3.52	12.01	4.84	-0.6	9.37	3.83
1934	-3.71	-2.76	-0.4	5.58	9.55	11.03	14.11	11.46	11.03	4.98	0.06	0.59	-4.15	4.91	12.2	5.36	-1.42	10.46	5.13
1935	-6.22	-2.65	-1.64	2.08	5.69	12.91	14.01	11.77	10.26	4.76	1.32	-4.02	-2.76	2.04	12.89	5.44	-0.81	9.45	4.02
1936	-0.32	-2.88	1.2	2.61	7.91	10.31	11.79	12.35	9.4	1.53	0.56	-1.76	-2.41	3.91	11.48	3.83	0.01	9.06	4.39
1937	-1.84	-0.99	-1.54	2.6	9	11.76	13.44	12.63	8.75	5.67	0.03	-4.71	-1.53	3.35	12.61	4.82	-0.68	9.7	4.57
1938	-3.32	-3.44	2.49	0.33	5.81	12.36	12.28	12.13	9.76	5.45	3.15	-4.13	-3.82	2.88	12.26	6.12	-0.55	8.78	4.41
1939	-2.11	-1.56	-3.45	4.52	4.6	11.12	11.87	12.56	8.79	3.66	2.34	-3.95	-2.6	1.89	11.85	4.93	-0.44	8.91	4.03
1940	-6.9	-2.72	-0.3	3.17	7.17	10.23	11.4	11.22	9.63	4.76	0.94	-7.17	-4.52	3.35	10.95	5.11	-1.31	8.8	3.45
1941	-5.59	-3.09	0.21	1.71	4.09	11.37	13.93	11.08	9.03	3.65	-0.34	-3.46	-5.28	2.01	12.13	4.11	-1.65	8.54	3.55
1942	-8.26	-6.69	1.62	3.78	7.68	11.5	12.7	12.91	11.48	7.67	-0.98	-1.78	-6.14	4.36	12.37	6.06	-2.25	10.01	4.3
1943	-3.23	-1.69	1.89	4.66	8.91	10.08	13.2	14.43	10.67	7.35	-0.95	-2.21	-2.23	5.15	12.57	5.69	0.31	10.33	5.26
1944	-1.91	-6.02	-3.45	4.84	7.67	9.91	12.7	15.86	9.02	3.66	-0.5	-4.43	-3.38	3.02	12.82	4.06	-1.2	10	3.95
1945	-8.83	-0.01	1.32	5.1	9.58	13.09	14.56	12.02	10.22	5.17	-0.61	-2.76	-4.42	5.34	13.22	4.93	-1.46	10.76	4.91
1946	-4.78	-1.32	1.2	6.23	8.53	10.03	13.86	12.33	10.73	4.43	0.4	-4.75	-2.95	5.32	12.07	5.19	-0.52	10.28	4.74
1947	-6.46	-4.62	0.99	6.27	9.96	13.25	15.17	15.18	12	6.31	2.4	-3.07	-5.27	5.74	14.53	6.9	-1.67	11.97	5.61
